Date,Time,Counted by:,Site,Volume Filtered (ml),Frames counted,Volume counted,Species, Cells Counted , Cells/L ,,Yellow_block,RG_meth,SRC_method
09/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,57,543,2 714,13571.42857,285,129285.7143
09/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,45,429,2 143,10714.28571,225,102142.8571
09/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,32,305,1 524,7619.047619,160,72619.04762
21/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,30,286,1 429,7142.857143,150,68095.2381
01/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,29,276,1 381,6904.761905,145,65714.28571
18/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,29,276,1 381,6904.761905,145,65714.28571
18/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Lingulodinium polyedrum,29,276,1 381,6904.761905,145,65714.28571
21/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,29,276,1 381,6904.761905,145,65714.28571
18/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,24,229,1 143,5714.285714,120,54523.80952
12/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,21,200,1 000,5000,105,47619.04762
16/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax spinifera,21,200,1 000,5000,105,47619.04762
16/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Zygabikodinium lenticulatum,21,200,1 000,5000,105,47619.04762
16/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Scrippsiella trochoidea,19,181,905,4523.809524,95,43095.2381
16/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium oceanicum,18,171,857,4285.714286,90,40714.28571
01/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,17,162,810,4047.619048,85,38571.42857
13/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,17,162,810,4047.619048,85,38571.42857
12/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,14,133,667,3333.333333,70,31666.66667
13/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,14,133,667,3333.333333,70,31666.66667
13/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Scrippsiella trochoidea,14,133,667,3333.333333,70,31666.66667
31/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,14,133,667,3333.333333,70,31666.66667
13/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Zygabikodinium lenticulatum,13,124,619,3095.238095,65,29523.80952
10/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,12,114,571,2857.142857,60,27142.85714
