Sample,Date,Time,Counted by,Site
866,22/03/2019,17:00,Sarah,After Drumfilter
867,22/03/2019,17:00,Sarah,Primary sump
868,22/03/2019,17:30,Sarah,After Drumfilter
869,22/03/2019,18:00,Sarah,Primary sump
870,22/03/2019,18:30,Sarah,Settlement
871,22/03/2019,18:30,Sarah,Nursery Row11
872,22/03/2019,18:30,Sarah,Nursery Row10
873,22/03/2019,18:30,Sarah,After Drumfilter
874,22/03/2019,19:00,Sarah,Primary sump
875,22/03/2019,21:00,Sarah,Primary sump
876,22/03/2019,22:10,Sarah,Primary sump
877,22/03/2019,23:00,Sarah,Primary sump
878,22/03/2019,0:00:00,Sarah,Primary sump
879,23/03/2019,01:00,Sarah,Primary sump
880,23/03/2019,03:00,Sarah,Primary sump
881,23/03/2019,03:00,Sarah,After Drumfilter
882,23/03/2019,05:30,Sarah,Primary sump
883,23/03/2019,07:45,Lorna,Primary sump
884,23/03/2019,07:45,Lorna,After Drumfilter
885,23/03/2019,08:50,Lorna,Primary sump sump
886,23/03/2019,08:50,Lorna,After Drumfilter
887,23/03/2019,10:00,Lorna,Primary sump sump
888,23/03/2019,10:00,Lorna,After Drumfilter
889,23/03/2019,11:00,Lorna,Primary sump sump
890,23/03/2019,11:00,Lorna,After Drumfilter
891,23/03/2019,12:00,Lorna,Primary sump sump
892,23/03/2019,12:00,Lorna,After Drumfilter
893,23/03/2019,14;00,Werner,Primary sump sump
894,23/03/2019,14:00,Werner,After Drumfilter
895,23/03/2019,16:00,Werner,Primary sump sump
896,23/03/2019,16:00,Werner,After Drumfilter
897,23/03/2019,18:00,Sarah,Primary sump sump
898,23/03/2019,18:00,Sarah,After Drumfilter
899,24/03/2019,07:45,Lorna,Primary sump sump
900,24/03/2019,07:45,Lorna,After Drumfilter
901,24/03/2019,16:00,Werner,Primary sump sump
902,24/03/2019,16:00,Werner,After Drumfilter
903,24/03/2019,17:00,Werner,Primary sump sump
904,24/03/2019,17:00,Werner,After Drumfilter
905,24/03/2019,20:00,Pertunia,Primary sump sump
906,24/03/2019,20:00,Pertunia,Primary sump sump
907,24/03/2019,20:00,Pertunia,Primary sump sump
908,24/03/2019,20:00,Pertunia,Primary sump sump
909,24/03/2019,20:00,Pertunia,After Drumfilter
910,24/03/2019,20:00,Pertunia,After Drumfilter
911,24/03/2019,21:00,Pertunia,Primary sump sump
912,24/03/2019,21:00,Pertunia,Primary sump sump
913,24/03/2019,21:00,Pertunia,Seaview Farm
914,24/03/2019,22:00,Pertunia,Primary sump sump
915,24/03/2019,22:00,Pertunia,After Drumfilter
916,24/03/2019,22:30,Pertunia,Seaview farm (Top-up)
917,24/03/2019,23:00,Pertunia,Primary sump sump
918,24/03/2019,23:00,Pertunia,After Drumfilter
919,24/03/2019,00:00,Pertunia,Primary sump sump
920,24/03/2019,00:00,Pertunia,After Drumfilter
921,25/03/2019,01:00,Pertunia,Primary sump sump
922,25/03/2019,01:00,Pertunia,After Drumfilter
923,25/03/2019,01:00,Pertunia,After Drumfilter
924,25/03/2019,01:00,Pertunia,After Drumfilter
925,25/03/2019,07:30,Lorna,Primary sump sump
926,25/03/2019,07:30,Lorna,After Drumfilter
927,25/03/2019,10:00,Sarah,Primary sump sump
928,25/03/2019,14:00,Sarah,After Drumfilter
929,25/03/2019,14:00,Sarah,Primary sump sump
930,25/03/2019,15:00,Sarah,Primary sump sump
931,25/03/2019,18:30,Pertunia,After Drumfilter
932,25/03/2019,18:40,Pertunia,Kelpcatchers
933,25/03/2019,08:30,Pertunia,Kelpcatchers
934,25/03/2019,08:40,Pertunia,After Drumfilter
935,25/03/2019,22:30,Pertunia,Primary sump
936,25/03/2019,22:40,Pertunia,After Drumfilter
937,25/03/2019,23:45,Pertunia,Primary sump
938,25/03/2019,23:55,Pertunia,After Drumfilter
939,26/03/2019,01:35,Pertunia,Primary sump
940,26/03/2019,01:40,Pertunia,After Drumfilter
941,26/03/2019,03:05,Pertunia,Primary sump
942,26/03/2019,03:10,Pertunia,After Drumfilter
943,26/03/2019,05:00,Pertunia,Primary sump
944,26/03/2019,05:05,Pertunia,After Drumfilter
945,26/03/2019,08:00,Sarah,Primary sump
946,26/03/2019,08:00,Sarah,After Drumfilter
947,26/03/2019,09:15,Sarah,Primary sump
948,26/03/2019,09:15,Sarah,After Drumfilter
949,26/03/2019,10:20,Sarah,Primary sump
950,26/03/2019,10:20,Sarah,After Drumfilter
951,26/03/2019,12:00,Sarah,Primary sump
952,26/03/2019,12:00,Sarah,After Drumfilter
953,26/03/2019,13:00,Sarah,Primary sump
954,26/03/2019,13:30,Sarah,Primary sump
955,26/03/2019,14:00,Sarah,Primary sump
956,26/03/2019,14:45,Lorna,Primary sump
957,26/03/2019,15:45,Lorna,Primary sump
958,26/03/2019,16:45,Lorna,Primary sump
959,26/03/2019,18:00,Pertunia,Primary sump
960,26/03/2019,18:05,Pertunia,After Drumfilter
961,26/03/2019,07:20,Pertunia,Primary sump
962,26/03/2019,07:25,Pertunia,After Drumfilter
963,26/03/2019,08:20,Pertunia,Primary sump
964,26/03/2019,08:25,Pertunia,After Drumfilter
965,26/03/2019,09:20,Pertunia,Primary sump
966,26/03/2019,09:25,Pertunia,After Drumfilter
967,26/03/2019,23:20,Pertunia,Primary sump
968,26/03/2019,23:25,Pertunia,After Drumfilter
969,27/03/2019,06:00,Sarah,Primary sump
970,27/03/2019,06:00,Sarah,After Drumfilter
971,27/02/2019,07:45,Sarah,Primary sump
972,27/02/2019,07:45,Sarah,After Drumfilter
973,27/03/2019,10:00,Lorna,Primary sump
974,27/03/2019,10:00,Lorna,Primary sump
975,27/03/2019,13:00,Lorna,Primary sump
976,27/03/2019,13:00,Sarah,After Drumfilter
977,27/03/2019,15:00,Sarah,Primary sump
978,27/03/2019,17:00,Sarah,Primary sump
979,27/03/2019,17:00,Sarah,After Drumfilter
980,27/03/2019,18:30,Pertunia,Primary sump
981,27/03/2019,18:30,Pertunia,After Drumfilter
982,27/03/2019,20:00,Pertunia,Primary sump
983,27/03/2019,20:00,Pertunia,After Drumfilter
984,27/03/2019,20:40,Pertunia,Primary sump
985,27/03/2019,20:40,Pertunia,After Drumfilter
986,27/03/2019,21:30,Pertunia,Primary sump
987,27/03/2019,21:30,Pertunia,After Drumfilter
988,27/03/2019,23:00,Pertunia,Primary sump
989,27/03/2019,23:00,Pertunia,After Drumfilter
990,28/03/2019,00:00,Pertunia,Primary sump
991,28/03/2019,00:00,Pertunia,After Drumfilter
992,28/03/2019,07:30,Lorna,Primary sump
993,28/03/2019,07:30,Lorna,After Drumfilter
994,28/03/2019,08:20,Lorna,Primary sump
995,28/03/2019,09:15,Lorna,Primary sump
996,28/03/2019,10:00,Pertunia,Primary sump
997,28/03/2019,10:00,Pertunia,After Drumfilter
998,28/03/2019,11:00,Lorna,Primary sump
999,28/03/2019,12:00,Pertunia,Primary sump
1000,28/03/2019,13:00,Pertunia,Primary sump
1001,28/03/2019,13:00,Pertunia,After Drumfilter
1002,28/03/2019,14:00,Pertunia,Primary sump
1003,28/03/2019,15:00,Lorna,After Drumfilter
1004,28/03/2019,15:00,Jamie,Primary sump
1005,28/03/2019,16:00,Lorna,Primary sump
1006,28/03/2019,16:00,Lorna,After Drumfilter
1007,28/03/2019,17:00,Pertunia,Primary sump
1008,28/03/2019,17:00,Sarah,After Drumfilter
1009,28/03/2019,18:00,Sarah,Primary sump
1010,28/03/2019,19:00,Sarah,After Drumfilter
1011,28/03/2019,19:00,Sarah,Primary sump
1012,28/03/2019,20:00,Sarah,After Drumfilter
1013,28/03/2019,20:00,Sarah,Primary sump
1014,28/03/2019,21:00,Sarah,After Drumfilter
1015,28/03/2019,21:00,Sarah,Primary sump
1016,28/03/2019,22:00,Sarah,Primary sump
1017,28/03/2019,22:00,Sarah,After Drumfilter
1018,28/03/2019,23:00,Sarah,Primary sump
1019,28/03/2019,23:00,Sarah,After Drumfilter
